CountryCode;ProviderName;ProductName;LoanType;Period;Rate;Coverage;Check Date;ValidSinceDate;NHG
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;15 jaar;2.95%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;15 jaar;3.25%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;20 jaar;2.75%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;20 jaar;3.15%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;20 jaar;3.45%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;25 jaar;3.25%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;25 jaar;3.65%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;25 jaar;3.95%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;30 jaar;3.55%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;30 jaar;3.95%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;30 jaar;4.25%;90.0%-100.0%;2017-10-14;2017-09-18;N;
